"","Country.Region","lat.x","long.x","Node","lat.y","long.y"
"1","Afghanistan",33,65,"As1",31.9664875,45.4721230555556
"2","Albania",41.1533,20.1683,"Eu6",42.8648236,20.8278477
"3","Algeria",28.0339,1.6596,"Af1",28.4458285714286,13.8527615714286
"4","Andorra",42.5063,1.5218,"Eu2",47.5414,4.42885
"5","Angola",-11.2027,17.8739,"Af2",0.184070521739131,17.2277115652174
"6","Antigua and Barbuda",17.0608,-61.7964,"Am2",15.8596901111111,-72.247411
"7","Argentina",-38.4161,-63.6167,"Am3",-9.46136428571429,-65.4108071428571
"8","Armenia",40.0691,45.0382,"As1",31.9664875,45.4721230555556
"9","Australia",-31.9961875,141.2327875,"Au",-24.231296875,159.534821875
"10","Austria",47.5162,14.5501,"De",48.1186,10.3319
"11","Azerbaijan",40.1431,47.5769,"As1",31.9664875,45.4721230555556
"12","Bahamas",25.0343,-77.3963,"Am2",15.8596901111111,-72.247411
"13","Bahrain",26.0275,50.55,"As1",31.9664875,45.4721230555556
"14","Bangladesh",23.685,90.3563,"As3",19.9906666666667,81.4342833333333
"15","Barbados",13.1939,-59.5432,"Am2",15.8596901111111,-72.247411
"16","Belarus",53.7098,27.9534,"Eu7",53.3575166666667,26.8311666666667
"17","Belgium",50.8333,4,"Eu2",47.5414,4.42885
"18","Belize",13.1939,-59.5432,"Am2",15.8596901111111,-72.247411
"19","Benin",9.3077,2.3158,"Af2",0.184070521739131,17.2277115652174
"20","Bhutan",27.5142,90.4336,"As3",19.9906666666667,81.4342833333333
"21","Bolivia",-16.2902,-63.5887,"Am3",-9.46136428571429,-65.4108071428571
"22","Bosnia and Herzegovina",43.9159,17.6791,"Eu6",42.8648236,20.8278477
"23","Botswana",-22.3285,24.6849,"Af2",0.184070521739131,17.2277115652174
"24","Brazil",-14.235,-51.9253,"Am3",-9.46136428571429,-65.4108071428571
"25","Brunei",4.5353,114.7277,"As5",8.72523209090909,109.552548636364
"26","Bulgaria",42.7339,25.4858,"Eu6",42.8648236,20.8278477
"27","Burkina Faso",12.2383,-1.5616,"Af2",0.184070521739131,17.2277115652174
"28","Burma",21.9162,95.956,"As5",8.72523209090909,109.552548636364
"29","Burundi",-3.3731,29.9189,"Af2",0.184070521739131,17.2277115652174
"30","Cabo Verde",16.5388,-23.0418,"Af2",0.184070521739131,17.2277115652174
"31","Cambodia",11.55,104.9167,"As5",8.72523209090909,109.552548636364
"32","Cameroon",3.848,11.5021,"Af2",0.184070521739131,17.2277115652174
"33","Canada",44.7840466666667,-82.5085933333333,"Am1",35.1695822222222,-93.5914311111111
"34","Central African Republic",6.6111,20.9394,"Af2",0.184070521739131,17.2277115652174
"35","Chad",15.4542,18.7322,"Af2",0.184070521739131,17.2277115652174
"36","Chile",-35.6751,-71.543,"Am3",-9.46136428571429,-65.4108071428571
"37","China",32.8283848484848,111.649081818182,"As4",34.4636282828283,112.165260606061
"38","Colombia",4.5709,-74.2973,"Am3",-9.46136428571429,-65.4108071428571
"39","Congo (Brazzaville)",-4.0383,21.7587,"Af2",0.184070521739131,17.2277115652174
"40","Congo (Kinshasa)",-4.0383,21.7587,"Af2",0.184070521739131,17.2277115652174
"41","Costa Rica",9.7489,-83.7534,"Am2",15.8596901111111,-72.247411
"42","Cote d'Ivoire",7.54,-5.5471,"Af2",0.184070521739131,17.2277115652174
"43","Croatia",45.1,15.2,"Eu6",42.8648236,20.8278477
"44","Cuba",22,-80,"Am2",15.8596901111111,-72.247411
"45","Cyprus",35.1264,33.4299,"As1",31.9664875,45.4721230555556
"46","Czechia",49.8175,15.473,"Eu5",48.74392,17.76318
"47","Denmark",63.2878,-13.3381,"Eu4",63.14458,3.622
"48","Diamond Princess",0,0,"Af2",0.184070521739131,17.2277115652174
"49","Djibouti",11.8251,42.5903,"Af2",0.184070521739131,17.2277115652174
"50","Dominica",15.415,-61.371,"Am2",15.8596901111111,-72.247411
"51","Dominican Republic",18.7357,-70.1627,"Am2",15.8596901111111,-72.247411
"52","Ecuador",-1.8312,-78.1834,"Am3",-9.46136428571429,-65.4108071428571
"53","Egypt",26,30,"Af1",28.4458285714286,13.8527615714286
"54","El Salvador",13.7942,-88.8965,"Am2",15.8596901111111,-72.247411
"55","Equatorial Guinea",1.5,10,"Af2",0.184070521739131,17.2277115652174
"56","Eritrea",15.1794,39.7823,"Af2",0.184070521739131,17.2277115652174
"57","Estonia",58.5953,25.0136,"Eu7",53.3575166666667,26.8311666666667
"58","Eswatini",-26.5225,31.4659,"Af2",0.184070521739131,17.2277115652174
"59","Ethiopia",9.145,40.4897,"Af2",0.184070521739131,17.2277115652174
"60","Fiji",-17.7134,178.065,"Au",-24.231296875,159.534821875
"61","Finland",64,26,"Eu4",63.14458,3.622
"62","France",46.2276,2.2137,"Eu2",47.5414,4.42885
"63","Gabon",-0.8037,11.6094,"Af2",0.184070521739131,17.2277115652174
"64","Gambia",13.4432,-15.3101,"Af2",0.184070521739131,17.2277115652174
"65","Georgia",42.3154,43.3569,"As1",31.9664875,45.4721230555556
"66","Germany",51,9,"De",48.1186,10.3319
"67","Ghana",7.9465,-1.0232,"Af2",0.184070521739131,17.2277115652174
"68","Greece",39.0742,21.8243,"Eu6",42.8648236,20.8278477
"69","Grenada",12.1165,-61.679,"Am2",15.8596901111111,-72.247411
"70","Guatemala",15.7835,-90.2308,"Am2",15.8596901111111,-72.247411
"71","Guinea",9.9456,-9.6966,"Af2",0.184070521739131,17.2277115652174
"72","Guinea-Bissau",11.8037,-15.1804,"Af2",0.184070521739131,17.2277115652174
"73","Guyana",5,-58.75,"Am3",-9.46136428571429,-65.4108071428571
"74","Haiti",18.9712,-72.2852,"Am2",15.8596901111111,-72.247411
"75","Holy See",41.9029,12.4534,"It",42.9484333333333,12.3037333333333
"76","Honduras",15.2,-86.2419,"Am2",15.8596901111111,-72.247411
"77","Hungary",47.1625,19.5033,"Eu5",48.74392,17.76318
"78","Iceland",64.9631,-19.0208,"Eu4",63.14458,3.622
"79","India",21,78,"Hi",21,78
"80","Indonesia",-0.7893,113.9213,"As5",8.72523209090909,109.552548636364
"81","Iran",32,53,"As1",31.9664875,45.4721230555556
"82","Iraq",33,44,"As1",31.9664875,45.4721230555556
"83","Ireland",53.1424,-7.6921,"Eu3",54.26025,-5.56405
"84","Israel",31,35,"As1",31.9664875,45.4721230555556
"85","Italy",43,12,"It",42.9484333333333,12.3037333333333
"86","Jamaica",18.1096,-77.2975,"Am2",15.8596901111111,-72.247411
"87","Japan",36,138,"Ja",36,138
"88","Jordan",31.24,36.51,"As1",31.9664875,45.4721230555556
"89","Kazakhstan",48.0196,66.9237,"As2",43.5338333333333,68.7583666666667
"90","Kenya",-0.0236,37.9062,"Af2",0.184070521739131,17.2277115652174
"91","Korea, South",36,128,"Ko",36,128
"92","Kosovo",42.602636,20.902977,"Eu6",42.8648236,20.8278477
"93","Kuwait",29.5,47.75,"As1",31.9664875,45.4721230555556
"94","Kyrgyzstan",41.2044,74.7661,"As2",43.5338333333333,68.7583666666667
"95","Laos",19.85627,102.495496,"As5",8.72523209090909,109.552548636364
"96","Latvia",56.8796,24.6032,"Eu7",53.3575166666667,26.8311666666667
"97","Lebanon",33.8547,35.8623,"As1",31.9664875,45.4721230555556
"98","Liberia",6.4281,-9.4295,"Af2",0.184070521739131,17.2277115652174
"99","Libya",26.3351,17.228331,"Af1",28.4458285714286,13.8527615714286
"100","Liechtenstein",47.14,9.55,"De",48.1186,10.3319
"101","Lithuania",55.1694,23.8813,"Eu7",53.3575166666667,26.8311666666667
"102","Luxembourg",49.8153,6.1296,"Eu2",47.5414,4.42885
"103","Madagascar",-18.7669,46.8691,"Af2",0.184070521739131,17.2277115652174
"104","Malawi",-13.254308,34.301525,"Af2",0.184070521739131,17.2277115652174
"105","Malaysia",2.5,112.5,"As5",8.72523209090909,109.552548636364
"106","Maldives",3.2028,73.2207,"As3",19.9906666666667,81.4342833333333
"107","Mali",17.570692,-3.996166,"Af2",0.184070521739131,17.2277115652174
"108","Malta",35.9375,14.3754,"Eu1",38.4458,0.716966666666667
"109","Mauritania",21.0079,10.9408,"Af1",28.4458285714286,13.8527615714286
"110","Mauritius",-20.2,57.5,"Af2",0.184070521739131,17.2277115652174
"111","Mexico",23.6345,-102.5528,"Am1",35.1695822222222,-93.5914311111111
"112","Moldova",47.4116,28.3699,"Eu7",53.3575166666667,26.8311666666667
"113","Monaco",43.7333,7.4167,"Eu2",47.5414,4.42885
"114","Mongolia",46.8625,103.8467,"As4",34.4636282828283,112.165260606061
"115","Montenegro",42.5,19.3,"Eu6",42.8648236,20.8278477
"116","Morocco",31.7917,-7.0926,"Af1",28.4458285714286,13.8527615714286
"117","Mozambique",-18.665695,35.529562,"Af2",0.184070521739131,17.2277115652174
"118","MS Zaandam",0,0,"Af2",0.184070521739131,17.2277115652174
"119","Namibia",-22.9576,18.4904,"Af2",0.184070521739131,17.2277115652174
"120","Nepal",28.1667,84.25,"As3",19.9906666666667,81.4342833333333
"121","Netherlands",52.1326,5.2913,"Eu2",47.5414,4.42885
"122","New Zealand",-40.9006,174.886,"Au",-24.231296875,159.534821875
"123","Nicaragua",12.8654,-85.2072,"Am2",15.8596901111111,-72.247411
"124","Niger",17.6078,8.0817,"Af2",0.184070521739131,17.2277115652174
"125","Nigeria",9.082,8.6753,"Af2",0.184070521739131,17.2277115652174
"126","North Macedonia",41.6086,21.7453,"Eu6",42.8648236,20.8278477
"127","Norway",60.472,8.4689,"Eu4",63.14458,3.622
"128","Oman",21,57,"As1",31.9664875,45.4721230555556
"129","Pakistan",30.3753,69.3451,"As3",19.9906666666667,81.4342833333333
"130","Panama",8.538,-80.7821,"Am3",-9.46136428571429,-65.4108071428571
"131","Papua New Guinea",-6.315,143.9555,"Au",-24.231296875,159.534821875
"132","Paraguay",-23.4425,-58.4438,"Am3",-9.46136428571429,-65.4108071428571
"133","Peru",-9.19,-75.0152,"Am3",-9.46136428571429,-65.4108071428571
"134","Philippines",13,122,"As5",8.72523209090909,109.552548636364
"135","Poland",51.9194,19.1451,"Eu5",48.74392,17.76318
"136","Portugal",39.3999,-8.2245,"Eu1",38.4458,0.716966666666667
"137","Qatar",25.3548,51.1839,"As1",31.9664875,45.4721230555556
"138","Romania",45.9432,24.9668,"Eu6",42.8648236,20.8278477
"139","Russia",60,90,"Ru",60,90
"140","Rwanda",-1.9403,29.8739,"Af2",0.184070521739131,17.2277115652174
"141","Saint Kitts and Nevis",17.357822,-62.782998,"Am2",15.8596901111111,-72.247411
"142","Saint Lucia",13.9094,-60.9789,"Am2",15.8596901111111,-72.247411
"143","Saint Vincent and the Grenadines",12.9843,-61.2872,"Am2",15.8596901111111,-72.247411
"144","San Marino",43.9424,12.4578,"It",42.9484333333333,12.3037333333333
"145","Saudi Arabia",24,45,"As1",31.9664875,45.4721230555556
"146","Senegal",14.4974,-14.4524,"Af2",0.184070521739131,17.2277115652174
"147","Serbia",44.0165,21.0059,"Eu6",42.8648236,20.8278477
"148","Seychelles",-4.6796,55.492,"Af2",0.184070521739131,17.2277115652174
"149","Sierra Leone",8.460555,-11.779889,"Af2",0.184070521739131,17.2277115652174
"150","Singapore",1.2833,103.8333,"As5",8.72523209090909,109.552548636364
"151","Slovakia",48.669,19.699,"Eu5",48.74392,17.76318
"152","Slovenia",46.1512,14.9955,"Eu5",48.74392,17.76318
"153","Somalia",5.1521,46.1996,"Af2",0.184070521739131,17.2277115652174
"154","South Africa",-30.5595,22.9375,"Af2",0.184070521739131,17.2277115652174
"155","Spain",40,-4,"Eu1",38.4458,0.716966666666667
"156","Sri Lanka",7,81,"As3",19.9906666666667,81.4342833333333
"157","Sudan",12.8628,30.2176,"Af2",0.184070521739131,17.2277115652174
"158","Suriname",3.9193,-56.0278,"Am3",-9.46136428571429,-65.4108071428571
"159","Sweden",63,16,"Eu4",63.14458,3.622
"160","Switzerland",46.8182,8.2275,"De",48.1186,10.3319
"161","Syria",34.802075,38.996815,"As1",31.9664875,45.4721230555556
"162","Taiwan*",23.7,121,"As4",34.4636282828283,112.165260606061
"163","Tanzania",-6.369,34.8888,"Af2",0.184070521739131,17.2277115652174
"164","Thailand",15,101,"As5",8.72523209090909,109.552548636364
"165","Timor-Leste",-8.874217,125.727539,"As5",8.72523209090909,109.552548636364
"166","Togo",8.6195,0.8248,"Af2",0.184070521739131,17.2277115652174
"167","Trinidad and Tobago",10.6918,-61.2225,"Am3",-9.46136428571429,-65.4108071428571
"168","Tunisia",34,9,"Af1",28.4458285714286,13.8527615714286
"169","Turkey",38.9637,35.2433,"As1",31.9664875,45.4721230555556
"170","Uganda",1,32,"Af2",0.184070521739131,17.2277115652174
"171","Ukraine",48.3794,31.1656,"Eu7",53.3575166666667,26.8311666666667
"172","United Arab Emirates",24,54,"As1",31.9664875,45.4721230555556
"173","United Kingdom",55.3781,-3.436,"Eu3",54.26025,-5.56405
"174","Uruguay",-32.5228,-55.7658,"Am3",-9.46136428571429,-65.4108071428571
"175","US",37.0902,-95.7129,"Am1",35.1695822222222,-93.5914311111111
"176","Uzbekistan",41.3775,64.5853,"As2",43.5338333333333,68.7583666666667
"177","Venezuela",6.4238,-66.5897,"Am3",-9.46136428571429,-65.4108071428571
"178","Vietnam",16,108,"As5",8.72523209090909,109.552548636364
"179","West Bank and Gaza",31.9522,35.2332,"Af1",28.4458285714286,13.8527615714286
"180","Zambia",-15.4167,28.2833,"Af2",0.184070521739131,17.2277115652174
"181","Zimbabwe",-20,30,"Af2",0.184070521739131,17.2277115652174
